Symbol,Name,temp,temp,temp,Sector
ADBL,Agriculture Development Bank Limited,"30,375,000",100,"3,037,500,000.00",Commercial Banks
CBL,Civil Bank Ltd,"20,000,000",100,"2,000,000,000.00",Commercial Banks
CZBIL,Citizen Bank International Limited,"8,029,160",100,"8,029,160,000.00",Commercial Banks
EBL,Everest Bank Limited,"19,725,876",100,"1,972,587,600.00",Commercial Banks
GBIME,Global IME Bank Limited,"29,259,467",100,"2,925,946,700.00",Commercial Banks
HBL,Himalayan Bank Limited,"33,326,999",100,"3,332,699,900.00",Commercial Banks
KBL,Kumari Bank Limited,"24,304,628",100,"2,430,462,800.00",Commercial Banks
LBL,Laxmi Bank Limited,"23,378,319",100,"2,337,831,900.00",Commercial Banks
MBL,Machhapuchchhre Bank Limited,"27,755,635",100,"2,775,563,500.00",Commercial Banks
MEGA,Mega Bank Nepal Ltd.,"23,300,000",100,"2,330,000,000.00",Commercial Banks
NABIL,Nabil Bank Limited,"36,552,621",100,"3,655,262,100.00",Commercial Banks
NBB,Nepal Bangladesh Bank Limited,"24,325,706",100,"2,432,570,600.00",Commercial Banks
NBL,Nepal Bank Limited,"40,000,000",100,"4,000,000,000.00",Commercial Banks
NCCB,Nepal Credit And Commercial Bank Limited,"14,677,110",100,"1,467,711,000.00",Commercial Banks
NIB,Nepal Investment Bank Limited,"47,665,297",100,"4,766,529,700.00",Commercial Banks
NICA,NIC Asia Bank Ltd.,"26,582,847",100,"2,658,284,700.00",Commercial Banks
NMB,NMB Bank Limited,"20,000,000",100,"2,000,000,000.00",Commercial Banks
PCBL,Prime Commercial Bank Ltd.,"25,744,458",100,"2,574,445,800.00",Commercial Banks
SANIMA,Sanima Bank Limited,"25,499,681",100,"2,549,968,100.00",Commercial Banks
SBI,Nepal SBI Bank Limited,"26,482,515",100,"2,648,251,500.00",Commercial Banks
SBL,Siddhartha Bank Limited,"20,311,800",100,"2,031,180,000.00",Commercial Banks
SCB,Standard Chartered Bank Limited,"22,432,190",100,"2,243,219,000.00",Commercial Banks
SRBL,Sunrise Bank Limited,"22,366,500",100,"2,236,650,000.00",Commercial Banks
CCBL,Century Commercial Bank Ltd.,"20,000,000",100,"2,000,000,000.00",Commercial Banks
PRVU,Prabhu Bank Limited,0,100,0,Commercial Banks
RBB,Rastriya Banijya Bank Limited,0,0,0,Commercial Banks
BOKL,Bank of Kathmandu Ltd.,0,100,0,Commercial Banks
CORBL,Corporate Development Bank Limited,"2,000,000",100,"200,000,000.00",Development Banks
EDBL,Excel Development Bank Ltd.,"1,500,000",100,"150,000,000.00",Development Banks
GBBL,Garima Bikas Bank Limited,"4,488,000",100,"448,800,000.00",Development Banks
JBBL,Jyoti Bikas Bank Limited,0,100,0,Development Banks
KRBL,Karnali Development Bank Limited,"800,000",100,"80,000,000.00",Development Banks
MDB,Miteri Development Bank Limited,"1,300,147",100,"130,014,700.00",Development Banks
MNBBL,Muktinath Bikas Bank Ltd.,"5,990,250",100,"599,025,000.00",Development Banks
NABBC,Narayani Development Bank Limited,"437,355",100,"43,735,500.00",Development Banks
SADBL,Shangrila Development Bank Ltd.,"6,400,000",100,"640,000,000.00",Development Banks
SHINE,Shine Resunga Development Bank Ltd.,"6,333,300",100,"633,330,000.00",Development Banks
SINDU,Sindhu Bikash Bank Ltd,"1,000,000",100,"100,000,000.00",Development Banks
GRDBL,Green Development Bank Ltd.,0,100,0,Development Banks
MLBL,Mahalaxmi Bikas Bank Ltd.,0,100,0,Development Banks
